City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
280,La Asuncion,VE,11.0333,-63.8628,80.33,89,87,9.22,light rain
281,Cervo,ES,43.6702,-7.4101,62.96,82,98,9.86,light rain
282,Kundiawa,PG,-6.0167,144.9667,63.54,89,99,3.83,overcast clouds
283,Moba,CN,33.2288,105.0179,48.25,82,100,4.54,overcast clouds
284,Bereda,ES,43.2686,-7.5406,59.41,100,99,9.08,overcast clouds
285,Lichuan,CN,30.3,108.85,51.42,94,100,2.46,overcast clouds
286,Leo,BF,11.1,-2.1,84.18,25,0,8.46,clear sky
287,Taoudenni,ML,22.6783,-3.9836,83.16,11,2,7.74,clear sky
288,Inirida,CO,3.8653,-67.9239,74.17,99,100,2.66,heavy intensity rain
289,Shaoguan,CN,24.8,113.5833,81.64,45,44,5.17,scattered clouds
290,Karatau,KZ,43.1667,70.4667,64.94,38,86,8.08,overcast clouds
291,Alta Floresta,BR,-9.8756,-56.0861,70.79,99,100,2.8,moderate rain
292,Grand Gaube,MU,-20.0064,57.6608,81.0,70,3,9.78,clear sky
293,Matagami,CA,49.7502,-77.6328,38.39,77,50,12.12,scattered clouds
294,Wenling,CN,28.3669,121.36,66.99,72,14,15.08,few clouds
295,Tual,ID,-5.6667,132.75,85.73,68,100,5.39,overcast clouds
296,Grindavik,IS,63.8424,-22.4338,39.67,100,100,10.36,light intensity drizzle
297,Chernyshevskiy,RU,63.0128,112.4714,27.23,97,100,8.08,light snow
298,Emerald,AU,-23.5333,148.1667,78.35,34,0,3.58,clear sky
299,Vao,NC,-22.6667,167.4833,76.32,82,59,7.9,broken clouds
300,Ola,RU,59.5833,151.2833,26.1,86,100,4.25,light snow
301,Krasnoselkup,RU,65.7,82.4667,25.0,93,100,20.51,light snow
302,Mkushi,ZM,-13.6202,29.3939,88.2,21,94,11.92,overcast clouds
303,San Jeronimo,PE,-11.9472,-75.2829,49.32,59,88,0.85,overcast clouds
304,Herat,AF,34.5,62.0,77.47,15,59,4.25,broken clouds
305,Solnechnyy,RU,50.7214,136.6319,31.32,83,2,2.04,clear sky
306,San Andres,CO,12.5847,-81.7006,81.77,65,13,4.23,few clouds
307,Srednekolymsk,RU,67.45,153.6833,-8.82,100,73,3.38,broken clouds
308,Caledonia,US,42.8078,-87.9242,42.58,90,0,0.0,mist
309,Touba,CI,8.2833,-7.6833,77.95,75,42,1.34,scattered clouds
310,Lalpur,IN,22.2,69.9667,93.13,22,0,6.67,clear sky
311,Pahrump,US,36.2083,-115.9839,52.25,21,83,1.83,broken clouds
312,Veraval,IN,20.9,70.3667,86.32,44,0,8.97,clear sky
313,Lavrentiya,RU,65.5833,-171.0,19.96,81,94,11.18,overcast clouds
314,Tilichiki,RU,60.4667,166.1,7.43,86,5,5.95,clear sky
315,Hay River,CA,60.8156,-115.7999,20.17,92,59,6.38,broken clouds
316,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.23,70,11,8.5,few clouds
317,Korla,CN,41.7597,86.1469,59.97,25,9,4.5,clear sky
318,Visnes,NO,59.3556,5.2242,55.45,88,20,12.66,few clouds
319,Porto Santo,PT,33.072,-16.3415,70.18,83,40,5.75,scattered clouds
320,Mount Isa,AU,-20.7333,139.5,92.97,17,5,9.22,clear sky
321,Lodwar,KE,3.1191,35.5973,91.76,36,92,17.45,overcast clouds
322,Clyde River,CA,70.4692,-68.5914,12.43,79,100,16.11,light snow
323,Ostrovnoy,RU,68.0531,39.5131,38.35,98,100,22.91,overcast clouds
324,Okhotsk,RU,59.3833,143.3,25.9,64,19,12.08,few clouds
325,Vanimo,PG,-2.6741,141.3028,80.55,81,99,4.76,overcast clouds
326,Anloga,GH,5.7947,0.8973,82.9,73,12,5.68,few clouds
327,Shahrud,IR,36.4182,54.9763,66.27,38,4,1.48,clear sky
328,Songkhla,TH,6.8333,100.6667,87.85,82,95,7.83,overcast clouds
329,Jishou,CN,28.3167,109.7167,59.25,92,100,3.89,overcast clouds
330,Viransehir,TR,37.2353,39.7631,73.54,15,11,4.61,few clouds
331,San Marcos,US,33.1434,-117.1661,61.9,88,75,1.01,broken clouds
332,Guerrero Negro,MX,27.9769,-114.0611,66.54,81,2,10.11,clear sky
333,Druzhba,UA,52.0428,33.9453,52.79,85,100,12.37,overcast clouds
334,Alvorada,BR,-12.48,-49.1247,73.58,91,100,2.53,overcast clouds
335,Benghazi,LY,32.1167,20.0667,71.92,58,0,15.43,clear sky
336,Borogontsy,RU,62.6683,131.1683,7.38,95,25,6.46,scattered clouds
337,Mao,ES,39.8885,4.2658,72.16,83,20,6.91,few clouds
338,Kurdzhinovo,RU,43.9884,40.9552,51.55,60,30,4.61,scattered clouds
339,Abnub,EG,27.2696,31.1511,80.71,34,0,15.03,clear sky
340,Hunfeld,DE,50.6797,9.7673,64.11,83,100,5.46,overcast clouds
341,Bayonne,FR,43.3333,-1.4167,77.63,25,0,5.75,clear sky
342,San Policarpo,PH,12.1791,125.5072,82.0,82,100,17.05,light rain
343,Urumqi,CN,43.801,87.6005,41.95,65,20,4.47,few clouds
344,Hobyo,SO,5.3505,48.5268,82.76,66,25,10.89,scattered clouds
345,La Ronge,CA,55.1001,-105.2842,40.51,58,0,9.71,clear sky
346,Salinopolis,BR,-0.6136,-47.3561,79.07,80,100,11.74,overcast clouds
